School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Butts Road Intermediate,Chesapeake City Public Schools,45.0,47.0,4.0
Byrd Elementary,Goochland County Public Schools,39.0,55.0,0.0
C. Alton Lindsay Middle,Hampton City Public Schools,57.0,41.0,2.0
C. Hunter Ritchie Elementary,Fauquier County Public Schools,34.0,63.0,0.0
C.A. Sinclair Elementary,Prince William County Public Schools,26.0,69.0,0.0
C.C. Wells Elementary,Chesterfield County Public Schools,31.0,67.0,0.0
C.D. Hylton High,Prince William County Public Schools,33.0,61.0,0.0
C.E. Curtis Elementary,Chesterfield County Public Schools,43.0,57.0,0.0
C.M. Bradley Elementary,Fauquier County Public Schools,53.0,47.0,0.0
Callaghan Elementary,Alleghany Highlands Public Schools,48.0,52.0,0.0
Callaway Elementary,Franklin County Public Schools,39.0,61.0,0.0
Camelot Elementary,Chesapeake City Public Schools,35.0,63.0,0.0
Camelot Elementary,Fairfax County Public Schools,36.0,60.0,2.0
Cameron Elementary,Fairfax County Public Schools,29.0,71.0,0.0
Camp Allen Elementary,Norfolk City Public Schools,41.0,51.0,0.0
Campbell Court Elementary,Henry County Public Schools,69.0,27.0,0.0
Campbell Elementary,Arlington County Public Schools,25.0,75.0,0.0
Canterbury Woods Elementary,Fairfax County Public Schools,24.0,71.0,5.0
Capron Elementary,Southampton County Public Schools,46.0,42.0,8.0
Captain John Smith Elementary,Hampton City Public Schools,52.0,45.0,0.0
Cardinal Elementary,Arlington County Public Schools,30.0,66.0,0.0
Cardinal Elementary,Richmond City Public Schools,39.0,59.0,0.0
Cardinal Forest Elementary,Fairfax County Public Schools,25.0,74.0,0.0
Carlin Springs Elementary,Arlington County Public Schools,17.0,79.0,3.0
Caroline High,Caroline County Public Schools,47.0,47.0,0.0
Caroline Middle,Caroline County Public Schools,52.0,43.0,0.0
Carroll County High,Carroll County Public Schools,41.0,52.0,2.0
Carroll County Middle,Carroll County Public Schools,46.0,49.0,2.0
Carrollton Elementary,Isle of Wight County Public Schools,39.0,56.0,0.0
